USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.2  0.0 157432  7140 ?        Ss   08:46   0:01 /sbin/init
root         175  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/250-18a9000]
root         176  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/113-18a9000]
root         177  0.0  0.0      0     0 ?        I<   08:46   0:00 [18a90000.dp_tx]
root         178  0.0  0.0      0     0 ?        I<   08:46   0:00 [g3d_utilization]
root         179  0.0  0.0      0     0 ?        I<   08:46   0:00 [kworker/u17:1]
root         180  0.0  0.0      0     0 ?        I<   08:46   0:00 [kbase_job_fault]
root         181  0.0  0.0      0     0 ?        I<   08:46   0:00 [g3d_utilization]
root         182  0.0  0.0      0     0 ?        I<   08:46   0:00 [kbase_job_fault]
root         183  0.0  0.0      0     0 ?        I<   08:46   0:00 [g3d_utilization]
root         184  0.0  0.0      0     0 ?        I<   08:46   0:00 [kbase_job_fault]
root         185  0.0  0.0      0     0 ?        I<   08:46   0:00 [g2dscheduler]
root         186  0.0  0.0      0     0 ?        S    08:46   0:00 [scsi_eh_0]
root         187  0.0  0.0      0     0 ?        I<   08:46   0:00 [scsi_tmf_0]
root         188  0.0  0.0      0     0 ?        I<   08:46   0:00 [ufs_eh_wq_0]
root         189  0.0  0.0      0     0 ?        I<   08:46   0:00 [srpmb_wq]
root         190  0.0  0.0      0     0 ?        I<   08:46   0:00 [seqos_wq]
root         192  0.0  0.0      0     0 ?        I<   08:46   0:00 [seqos_wq]
root         193  0.0  0.0      0     0 ?        I<   08:46   0:00 [mfc/watchdog]
root         194  0.0  0.0      0     0 ?        I<   08:46   0:00 [mfc/butler]
root         196  0.0  0.0      0     0 ?        S    08:46   0:00 [ion_system_heap]
root         197  0.0  0.0      0     0 ?        S    08:46   0:00 [vendor_system_h]
root         198  0.0  0.0      0     0 ?        S    08:46   0:00 [tee_log]
root         199  0.0  0.0      0     0 ?        D    08:46   0:00 [tee_irq_bh]
root         200  0.0  0.0      0     0 ?        S    08:46   0:00 [tee_worker/0]
root         201  0.0  0.0      0     0 ?        S    08:46   0:00 [tee_worker/1]
root         202  0.0  0.0      0     0 ?        S    08:46   0:00 [tee_worker/2]
root         203  0.0  0.0      0     0 ?        S    08:46   0:00 [tee_worker/3]
root         204  0.0  0.0      0     0 ?        I<   08:46   0:00 [abox_ipc]
root         205  0.0  0.0      0     0 ?        I<   08:46   0:00 [ipv6_addrconf]
root         207  0.0  0.0      0     0 ?        I<   08:46   0:00 [kworker/7:1H-kblockd]
root         208  0.0  0.0      0     0 ?        I<   08:46   0:00 [kworker/2:1H-kblockd]
root         209  0.0  0.0      0     0 ?        I<   08:46   0:00 [kworker/5:1H-kblockd]
root         210  0.0  0.0      0     0 ?        I<   08:46   0:00 [Print0_CR52]
root         211  0.0  0.0      0     0 ?        I<   08:46   0:00 [Print1_CR52]
root         213  0.0  0.0      0     0 ?        I<   08:46   0:00 [kworker/3:1H-kblockd]
root         214  0.0  0.0      0     0 ?        I<   08:46   0:00 [kworker/0:1H-kblockd]
root         215  0.0  0.0      0     0 ?        S    08:46   0:00 [jbd2/sda21-8]
root         216  0.0  0.0      0     0 ?        I<   08:46   0:00 [ext4-rsv-conver]
root         227  0.0  0.0      0     0 ?        I<   08:46   0:00 [kworker/1:1H-kblockd]
root         228  0.0  0.0      0     0 ?        I<   08:46   0:00 [kworker/6:1H-kblockd]
root         232  0.0  0.0 298356   980 ?        Ssl  08:46   0:00 /usr/sbin/rngd -f -r /dev/hwrng
root         232  0.5  0.0 298356   980 ?        Ssl  08:46   0:03 /usr/sbin/rngd -f -r /dev/hwrng
root         232  0.7  0.0 298356   980 ?        Ssl  08:46   0:05 /usr/sbin/rngd -f -r /dev/hwrng
root         232  0.7  0.0 298356   980 ?        Ssl  08:46   0:05 /usr/sbin/rngd -f -r /dev/hwrng
root         232  0.7  0.0 298356   980 ?        Ssl  08:46   0:05 /usr/sbin/rngd -f -r /dev/hwrng
rpc          233  0.0  0.0   3692  2252 ?        Ss   08:46   0:00 /usr/sbin/rpcbind -w -f
root         240  0.0  0.0  41928  5604 ?        Ss   08:46   0:00 /lib/systemd/systemd-journald
root         241  0.0  0.0      0     0 ?        I<   08:46   0:00 [kworker/4:1H-kblockd]
root         254  0.0  0.0      0     0 ?        I    08:46   0:00 [kworker/7:2-events]
root         256  0.1  0.0  13504  3956 ?        Ss   08:46   0:00 /lib/systemd/systemd-udevd
root         303  0.0  0.0      0     0 ?        I    08:46   0:00 [kworker/6:2-events]
systemd+     352  0.0  0.0  81132  2080 ?        Ssl  08:46   0:00 /lib/systemd/systemd-timesyncd
systemd+     352  0.0  0.0  81132  2080 ?        Ssl  08:46   0:00 /lib/systemd/systemd-timesyncd
root         363  0.0  0.0      0     0 ?        I    08:46   0:00 [kworker/4:2-events]
root         408  0.0  0.0   3196   684 ?        Ss   08:46   0:00 /sbin/klogd -n
root         409  0.0  0.0   3196   704 ?        Ss   08:46   0:00 /sbin/syslogd -n
root         410  0.0  0.0   2448   580 ?        Ss   08:46   0:00 /usr/sbin/crond -n
message+     411  0.0  0.0   4468  2952 ?        Ss   08:46   0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         412  0.0  0.0   5012  1416 tty1     Ss+  08:46   0:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
root         415  0.0  0.0   8520  5080 ?        Ss   08:46   0:00 /usr/sbin/ofonod -n
root         417  0.0  0.0   3420  2456 ?        Ss   08:46   0:00 /bin/sh /usr/bin/pstore-journal.sh
root         421  0.0  0.0   4564  3844 ttySAC0  Ss+  08:46   0:00 -sh
root         422  0.0  0.0  39544  4600 ?        S    08:46   0:00 journalctl -b -f
root         425  0.0  0.0   7068  3920 ?        Ss   08:46   0:00 /lib/systemd/systemd-logind
systemd+     431  0.0  0.0   7660  3244 ?        Ss   08:46   0:00 /lib/systemd/systemd-networkd
root         433  0.0  0.1 285656 30176 tty2     Ssl+ 08:46   0:00 /usr/bin/weston --config=/usr/lib/weston.ini --idle-time=0 --log=/var/log/weston.log
root         433  0.0  0.1 285656 30176 tty2     Ssl+ 08:46   0:00 /usr/bin/weston --config=/usr/lib/weston.ini --idle-time=0 --log=/var/log/weston.log
root         433  0.0  0.1 285656 30176 tty2     Ssl+ 08:46   0:00 /usr/bin/weston --config=/usr/lib/weston.ini --idle-time=0 --log=/var/log/weston.log
root         433  0.0  0.1 285656 30176 tty2     Ssl+ 08:46   0:00 /usr/bin/weston --config=/usr/lib/weston.ini --idle-time=0 --log=/var/log/weston.log
root         433  0.0  0.1 285656 30176 tty2     Ssl+ 08:46   0:00 /usr/bin/weston --config=/usr/lib/weston.ini --idle-time=0 --log=/var/log/weston.log
root         433  0.0  0.1 285656 30176 tty2     Ssl+ 08:46   0:00 /usr/bin/weston --config=/usr/lib/weston.ini --idle-time=0 --log=/var/log/weston.log
root         433  0.0  0.1 285656 30176 tty2     Ssl+ 08:46   0:00 /usr/bin/weston --config=/usr/lib/weston.ini --idle-time=0 --log=/var/log/weston.log
root         433  0.0  0.1 285656 30176 tty2     Ssl+ 08:46   0:00 /usr/bin/weston --config=/usr/lib/weston.ini --idle-time=0 --log=/var/log/weston.log
root         433  0.0  0.1 285656 30176 tty2     Ssl+ 08:46   0:00 /usr/bin/weston --config=/usr/lib/weston.ini --idle-time=0 --log=/var/log/weston.log
root         433  0.0  0.1 285656 30176 tty2     Ssl+ 08:46   0:00 /usr/bin/weston --config=/usr/lib/weston.ini --idle-time=0 --log=/var/log/weston.log
root         433  0.0  0.1 285656 30176 tty2     Ssl+ 08:46   0:00 /usr/bin/weston --config=/usr/lib/weston.ini --idle-time=0 --log=/var/log/weston.log
root         433  0.0  0.1 285656 30176 tty2     Ssl+ 08:46   0:00 /usr/bin/weston --config=/usr/lib/weston.ini --idle-time=0 --log=/var/log/weston.log
systemd+     435  0.0  0.0   7196  3264 ?        Ss   08:46   0:00 /lib/systemd/systemd-resolved
root         436  0.0  0.0      0     0 ?        I<   08:46   0:00 [kbase_event]
root         448  0.0  0.0  13500  8072 tty2     S+   08:46   0:00 /usr/libexec/weston-keyboard
root         449  0.0  0.0  12032  5940 tty2     S+   08:46   0:00 /usr/libexec/weston-desktop-shell
avahi        450  0.0  0.0   4848  2364 ?        Ss   08:46   0:00 avahi-daemon: running [euto-v9-discovery.local]
avahi        451  0.0  0.0   4716   252 ?        S    08:46   0:00 avahi-daemon: chroot helper
nobody       455  0.0  0.0   2308   136 ?        S    08:46   0:00 /usr/bin/dnsmasq -x /run/dnsmasq.pid -7 /etc/dnsmasq.d --local-service
root         457  0.0  0.0      0     0 ?        S    08:46   0:00 [irq/17-10300000]
root         462  0.0  0.0      0     0 ?        S    08:46   0:00 [jbd2/sda71-8]
root         463  0.0  0.0      0     0 ?        I<   08:46   0:00 [ext4-rsv-conver]
root         468  0.0  0.0      0     0 ?        S<   08:46   0:00 [loop0]
root         469  0.0  0.0      0     0 ?        S    08:46   0:00 [jbd2/loop0-8]
root         470  0.0  0.0      0     0 ?        I<   08:46   0:00 [ext4-rsv-conver]
root         475  0.0  0.0   7012  2808 ?        Ss   08:46   0:00 /usr/bin/lxc-start -n linux1
root         476  0.0  0.0  12264  6844 ?        Ss   08:46   0:00 /sbin/init
root         492  0.0  0.0 150892   924 ?        Ssl  08:46   0:00 /usr/sbin/rngd -f -r /dev/hwrng
root         492  0.7  0.0 150892   924 ?        Ssl  08:46   0:05 /usr/sbin/rngd -f -r /dev/hwrng
root         492  0.7  0.0 150892   924 ?        Ssl  08:46   0:05 /usr/sbin/rngd -f -r /dev/hwrng
root         493  0.0  0.0  43812  4980 ?        Ss   08:46   0:00 /lib/systemd/systemd-journald
